,Company Name,Job Title,average_salary,city,state
8229,LIBERTY MUTUAL GROUP,"Assistant Director, Data Science",118000.0,Seattle,WA
8248,Philanthropy Northwest,"Research Analyst, The Giving Practice",55000.0,Seattle,WA
8265,All-In Analytics,Business Intelligence Scientist,125000.0,Seattle,WA
8280,State of Washington,TMDL Lead (Environmental Specialist 4),55548.0,Bellevue,WA
8296,Lighthouse Recruiting,Variant Scientist (Remote),95000.0,Seattle,WA
8410,HERO.Jobs,"Machine Learning Engineer - Big Data, Python, R",160000.0,Seattle,WA
8447,Cutting Edge Medical Diagnostics,"Sr. Data Scientist / Machine Learning (In-vitro dx, Imaging)",140000.0,Seattle,WA
8468,Smith Arnold Partners,Research Analyst,57500.0,Seattle,WA
8745,All-In Analytics,Sr. Global Device Manager,162500.0,Seattle,WA
8911,XOR Data Exchange,Senior Software Engineer/Team Lead,90000.0,Austin,TX
8926,All-In Analytics,Senior Machine Learning Data Scientist,150000.0,Austin,TX
8940,Smith Arnold Partners,Research Analyst,57500.0,Austin,TX
9026,Volt Workforce Solutions,Machine Learning Engineer,135000.0,Austin,TX
9028,Lighthouse Recruiting,LCMS Certifying Scientist,70000.0,Austin,TX
9605,Baylor College of Medicine,Research Financial Analyst II,65000.0,Houston,TX
9606,Baylor College of Medicine,Sr. Bioinformatics Programmer,80500.0,Houston,TX
9621,Baylor College of Medicine,Senior Research Policy Analyst,72000.0,Houston,TX
9622,Baylor College of Medicine,Lead Bioinformatics Programmer,92500.0,Houston,TX
9648,SearchAccountingJobs,Quantitative Risk Analyst,177500.0,Houston,TX
9713,Rekruiters,C++ Software Engineer,250000.0,Houston,TX
9724,Selby Jennings,Senior Predictive Modeling Actuary,100000.0,Houston,TX
9728,Selby Jennings,Catastrophe Risk Analyst - Quantitative,97500.0,Houston,TX
10338,Denver Public Schools,"SENIOR RESEARCH ANALYST, TEACHING AND LEARNING - 17167",69673.0,Denver,CO
10365,Mountain Ltd.,Legal Research Analyst,42500.0,Denver,CO
10366,Community College of Aurora,Research Analyst,40000.0,Aurora,CO
10380,Denver Health,RN-Statistical Research Specilist Nursing,66654.0,Denver,CO
10382,Denver Public Schools,RESEARCH ANALYST – 16996,63339.0,Denver,CO
10383,xentity corporation,Government Enterprise Architect,111000.0,Denver,CO
10436,Lauren Enterprises,Food Scientist: Chemistry & Formulations,35000.0,Denver,CO
10438,"Gunther Douglas, Inc.",Data Scientist,112500.0,Superior,CO
10442,10Roof Technology,"Big Data Developer (Spark, Hadoop, Hive)",105000.0,Denver,CO
10455,University of Colorado,Bioinformationist,56500.0,Aurora,CO
10499,Denver Health,Business Manager - RADARS,88091.0,Denver,CO
10514,University of Colorado,Managing Director for STROBE,107500.0,Boulder,CO
10520,University of Colorado,Health & Human Sciences Librarian,50500.0,Boulder,CO
10600,Potatoes USA,Global Marketing Manager - Food Manufacturing,85000.0,Denver,CO
11075,State of Maryland,RESEARCH STATISTICIAN II,53592.5,Baltimore,MD
11080,Johns Hopkins University,Sr. Research Data Analyst,59339.0,Baltimore,MD
11081,Johns Hopkins University,Research Data Analyst,50112.0,Baltimore,MD
11082,Johns Hopkins University,Sr. Research Service Analyst,56205.0,Baltimore,MD
11092,"City of Baltimore, MD",Research Analyst II - Dept. of Public Wo...,79050.0,Baltimore,MD
11095,Johns Hopkins University,Research Specialist,43986.0,Baltimore,MD
11097,Johns Hopkins University,Biostatistician,59339.0,Baltimore,MD
11105,State of Maryland,EPIDEMIOLOGIST I,50508.0,Baltimore,MD
11109,Johns Hopkins University,Research Service Analyst,49165.0,Baltimore,MD
11113,Johns Hopkins University,Sr. Institutional Research Analyst,59339.0,Baltimore,MD
11141,Johns Hopkins University,Sr. Biostatistician,68904.0,Baltimore,MD
11142,"Apex Sytems, Inc",Research Audit Analyst,45000.0,Columbia,MD
11182,State of Maryland,EDUCATION PROGRAM SPECIALIST I (Education Research Associate...,78873.0,Baltimore,MD
11184,Johns Hopkins University,Research Billing Compliance Analyst,66956.5,Baltimore,MD
11213,National Security Agency,Cryptologic Computer Scientist,75091.5,Fort George G Meade,MD
11225,Johns Hopkins University,Postdoctoral Fellowship in Immuno-Oncology,45000.0,Baltimore,MD
11244,Johns Hopkins University,Data Scientist,65643.5,Baltimore,MD
11288,Johns Hopkins University,Ophthalmic Surgical Education Training Center Coordinator,49165.0,Baltimore,MD
11299,National Security Agency,Operations Research Analyst,75091.5,Fort George G Meade,MD
11331,National Security Agency,Earned Value Management & Cost Research Analyst,75091.5,Fort George G Meade,MD
11333,National Security Agency,Mathematicians,75091.5,Fort George G Meade,MD
11345,National Security Agency,Cryptanalytic Computer Network Operations Development Progra...,76258.5,Fort George G Meade,MD
11346,National Security Agency,Software Engineer,75091.5,Fort George G Meade,MD
11347,National Security Agency,Data Scientist,91581.5,Fort George G Meade,MD
11364,National Security Agency,Data Scientist - Experienced,116850.0,Fort George G Meade,MD
11406,National Security Agency,Mathematical Statisticians,75091.5,Fort George G Meade,MD
11408,National Security Agency (NSA),Cryptologic Computer Scientist,75091.5,Fort Meade,MD
11812,"NewAgeSys,Inc",Analytical Scientist,80000.0,Fort Worth,TX
11839,Selby Jennings,Quantitative Analyst - Multiple Vacancies,150000.0,Dallas,TX
11843,Boy Scouts of America,Senior Statistical Data Coordinator,50000.0,Irving,TX
11899,NextStep Recruiting,Pricing and Quantitative Analyst,85000.0,Irving,TX
11988,All-In Analytics,Senior Marketing Data Scientist,90000.0,Dallas,TX
12005,Selby Jennings,Catastrophe Risk Analyst - Quantitative,97500.0,Dallas,TX
12547,University of Virginia,Web Developer/Designer & Statistical Analyst,57500.0,Charlottesville,VA
12549,Axon Connected,Cytotechnologist / Laboratory Technician / Laboratory Scient...,65000.0,Earlysville,VA
12554,University of Virginia,Bioinformatics Analyst,60000.0,Charlottesville,VA
12562,University of Virginia Health System,Data Scientist Intermediate,95482.5,Charlottesville,VA
12580,University of Virginia,Geospatial Consultant,60000.0,Charlottesville,VA
13261,Cincinnati Zoo & Botanical Garden,Research Associate,33500.0,Cincinnati,OH
13281,3coast,Senior Quantitative Analyst,115000.0,Cincinnati,OH
13308,Pomeroy IT Solutions,System Engineer I,50000.0,Mason,OH
13325,Selby Jennings,Research Analyst- 8.5bn AUM Wealth Management,112500.0,Cincinnati,OH
13976,Hunter International,GC-MS Scientist,70000.0,Cleveland,OH
13982,Hunter International,Quality Control Scientist,60000.0,Cleveland,OH
14029,Emerald Resource Group,Data Scientist Lead,110000.0,Cleveland,OH
14697,"NewAgeSys,Inc",Scientist (Novartis),50000.0,Cambridge,MA
14714,Domeyard LP,HPC Scientist at HFT Hedge Fund,120000.0,Boston,MA
14726,Jobspring Partners,Data Analysis,90000.0,Boston,MA
14734,Jobspring Partners,Data Analyst,92500.0,Boston,MA
14744,"NewAgeSys,Inc",Scientist (PFIZER),45000.0,Andover,MA
14757,Jobspring Partners,Senior Data Scientist,150000.0,Boston,MA
14764,Jobspring Partners,Data Scientist/Engineer,105000.0,Cambridge,MA
14809,Northeastern University,Research Scientist,60000.0,Boston,MA
14846,Domeyard LP,High Performance Computing Scientist needed for HFT Firm,120000.0,Boston,MA
14896,Harnham,"SENIOR DATA SCIENTIST, LEADING INSURANCE BUSINESS",160000.0,Boston,MA
14950,LIBERTY MUTUAL GROUP,Senior Software Developer,112750.0,Boston,MA
14983,Commonwealth of Massachusetts,Research Analyst III,66890.0,Boston,MA
14988,MaxMind,Data Scientist,100000.0,Waltham,MA
15013,LIBERTY MUTUAL GROUP,"Assistant Director, Predictive Modeling",134950.0,Boston,MA
15180,Rifiniti,Assistant to the President,55000.0,Boston,MA
15207,Strategic Employment Partners,Data Scientist,170000.0,Boston,MA
15250,WinterWyman,"Software Engineers (Scala / Java / Python, Hadoop, Machine L...",120000.0,Boston,MA
15273,Commonwealth of Massachusetts,Research Data Analyst,78928.5,Boston,MA
15348,Jobspring Partners,Data Scientist,100000.0,Boston,MA
15372,Harnham,"DATA SCIENTIST TEAM MANAGER, CUTTING EDGE TECH BUSINESS",180000.0,Cambridge,MA
15420,Jobspring Partners,Deep Learning Engineer,170000.0,Boston,MA
15916,Strategic Employment Partners,Data Scientist,112500.0,Cambridge,MA
16033,Neurable,Machine Learning Engineer,105000.0,Cambridge,MA
