,artist,track,time,genre,date entered,date peaked,Weeks on Billboard,Top Billboard Rank,Week,Ranking
31,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,19,4.0,1,70.0
32,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,27,4.0,1,85.0
33,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,22,4.0,1,85.0
34,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,29,5.0,1,73.0
35,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,21,5.0,1,36.0
36,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,27,5.0,1,68.0
37,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,26,5.0,1,68.0
38,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,26,5.0,1,76.0
39,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,24,6.0,1,74.0
40,Nine Days,Absolutely (Story Of A Girl),3:09,Rock,2000-05-06,2000-07-22,27,6.0,1,85.0
41,"Dion, Celine",That's The Way It Is,4:03,Rock,1999-11-13,2000-03-04,28,6.0,1,74.0
42,Blink-182,All The Small Things,2:52,Rock,1999-12-04,2000-02-19,23,6.0,1,89.0
43,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,1999-12-11,2000-01-29,20,6.0,1,67.0
44,"Badu, Erkyah",Bag Lady,5:03,Rock,2000-08-19,2000-10-07,20,6.0,1,67.0
45,Pink,There U Go,3:23,Rock,2000-03-04,2000-04-08,32,7.0,1,25.0
46,Creed,Higher,5:16,Rock,1999-09-11,2000-07-22,57,7.0,1,81.0
47,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,34,7.0,1,100.0
48,Next,Wifey,4:03,Rock,2000-05-27,2000-09-09,21,7.0,1,85.0
49,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz,1999-12-25,2000-01-08,5,7.0,1,89.0
50,Sonique,It Feels So Good,3:48,Rock,2000-01-22,2000-04-22,24,8.0,1,67.0
51,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,2000-04-22,2000-06-10,20,9.0,1,67.0
52,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,2000-10-14,2000-12-02,20,9.0,1,39.0
53,Everclear,Wonderful,4:30,Rock,2000-07-08,2000-09-30,21,11.0,1,77.0
54,Ja Rule,Between Me And You,4:05,Rap,2000-09-16,2000-11-18,20,11.0,1,85.0
55,"Rimes, LeAnn",I Need You,3:42,Country,2000-05-27,2000-08-12,25,11.0,1,77.0
56,Smash Mouth,Then The Morning Comes,3:04,Rock,1999-10-30,2000-01-29,26,11.0,1,83.0
57,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap,2000-10-28,2000-12-30,21,11.0,1,58.0
58,Jagged Edge,Let's Get Married,4:23,Rock,2000-05-06,2000-07-29,24,11.0,1,77.0
59,Filter,Take A Picture,4:23,Rock,1999-11-27,2000-02-05,20,12.0,1,91.0
60,"Martin, Ricky",She Bangs,4:02,Latin,2000-10-07,2000-12-02,18,12.0,1,38.0
61,Mystikal,Shake Ya Ass,4:46,Rap,2000-08-12,2000-10-28,20,13.0,1,97.0
62,BBMak,Back Here,3:35,Rock,2000-04-29,2000-07-29,31,13.0,1,99.0
63,"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock,2000-01-29,2000-02-26,20,14.0,1,76.0
64,Third Eye Blind,Never Let You Go,3:57,Rock,2000-01-22,2000-04-01,22,14.0,1,65.0
65,Red Hot Chili Peppers,Otherside,4:13,Rock,2000-02-12,2000-05-27,22,14.0,1,80.0
66,Profyle,Liar,3:57,R&B,2000-09-16,2000-10-28,20,14.0,1,52.0
67,Barenaked Ladies,Pinch Me,3:46,Rock,2000-09-09,2000-11-25,21,15.0,1,77.0
68,Jagged Edge,He Can't Love U,3:30,Rock,1999-12-11,2000-01-08,20,15.0,1,54.0
69,504 Boyz,Wobble Wobble,3:35,Rap,2000-04-15,2000-05-06,18,17.0,1,57.0
70,Sting,Desert Rose,3:52,Rock,2000-05-13,2000-08-26,26,17.0,1,98.0
71,Jay-Z,Big Pimpin',3:55,Rap,2000-04-22,2000-07-08,20,18.0,1,69.0
72,Kid Rock,Only God Knows Why,5:27,Rock,2000-02-19,2000-04-15,20,19.0,1,63.0
73,Foo Fighters,Learn To Fly,3:55,Rock,1999-10-16,2000-01-22,21,19.0,1,80.0
74,"Dixie Chicks, The",Goodbye Earl,4:19,Country,2000-03-18,2000-05-06,15,19.0,1,40.0
75,Guy,Dancin',4:08,R&B,1999-12-18,2000-01-01,11,19.0,1,46.0
76,Lil Bow Wow,Bounce With Me,3:22,Rap,2000-08-19,2000-09-16,20,20.0,1,48.0
77,Westlife,Swear It Again,4:07,Rock,2000-04-01,2000-07-01,20,20.0,1,96.0
78,Train,Meet Virginia,3:55,Rock,1999-10-09,2000-01-22,27,20.0,1,76.0
79,"Thomas, Carl",I Wish,3:50,Rock,2000-03-25,2000-05-13,20,20.0,1,75.0
80,Hanson,This Time Around,4:14,Country,2000-04-22,2000-05-06,7,20.0,1,22.0
81,"Simpson, Jessica",I Think I'm In Love With You,3:32,Pop,2000-07-01,2000-08-12,16,21.0,1,63.0
82,Ludacris,What's Your Fantasy,4:16,Rap,2000-09-30,2000-12-16,22,21.0,1,89.0
83,Lil' Zane,Callin' Me,3:43,Rap,2000-07-29,2000-09-02,13,21.0,1,83.0
84,M2M,Don't Say You Love Me,3:41,Pop,1999-11-20,2000-01-08,12,21.0,1,72.0
85,SoulDecision,Faded,3:25,Rock,2000-07-08,2000-09-09,24,22.0,1,94.0
86,"Brock, Chad",Yes!,3:22,Country,2000-04-08,2000-07-01,20,22.0,1,90.0
87,"Martin, Ricky",Shake Your Bon-Bon,3:08,Latin,1999-11-20,2000-02-12,18,22.0,1,74.0
88,Vertical Horizon,You're A God,3:45,Rock,2000-08-26,2000-11-04,21,23.0,1,64.0
89,Avant,Separated,4:13,Rock,2000-04-29,2000-05-20,20,23.0,1,62.0
90,"Rimes, LeAnn",Big Deal,3:03,Country,1999-10-16,2000-01-01,20,23.0,1,71.0
91,IMx,Stay The Night,3:37,Rap,1999-10-09,2000-01-08,20,23.0,1,84.0
92,Dr. Dre,The Next Episode,2:38,Rap,2000-05-27,2000-07-29,20,23.0,1,78.0
93,"Spears, Britney",Lucky,3:23,Rock,2000-08-12,2000-09-09,11,23.0,1,61.0
94,Savage Garden,Crash And Burn,4:41,Rock,2000-04-08,2000-05-27,20,24.0,1,75.0
95,Kandi,Don't Think I'm Not,3:50,Rock,2000-08-05,2000-10-07,24,24.0,1,66.0
96,Sammie,I Like It,4:09,Rock,2000-01-29,2000-04-15,20,24.0,1,85.0
97,Goo Goo Dolls,Broadway,3:54,Rock,2000-04-22,2000-07-01,20,24.0,1,74.0
98,"Moore, Mandy",I Wanna Be With You,4:12,Pop,2000-06-17,2000-08-12,23,24.0,1,69.0
99,Dr. Dre,Forgot About Dre,3:42,Rap,2000-01-22,2000-03-25,20,25.0,1,75.0
100,D'Angelo,Untitled (How Does It Feel),7:10,R&B,2000-01-22,2000-02-19,17,25.0,1,77.0
101,"Messina, Jo Dee",That's The Way,3:17,Country,2000-06-24,2000-08-26,20,25.0,1,78.0
102,Avant,My First Love,4:28,Rock,2000-11-04,2000-12-16,20,26.0,1,70.0
103,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,2000-08-19,26,26.0,1,80.0
104,Da Brat,What'Chu Like,3:57,Rap,2000-06-03,2000-08-12,20,26.0,1,71.0
105,DMX,Party Up (Up In Here),3:45,Rap,2000-02-26,2000-04-22,21,27.0,1,88.0
106,"Dixie Chicks, The",Cowboy Take Me Away,4:51,Country,1999-11-27,2000-01-29,20,27.0,1,79.0
107,"McGraw, Tim",My Next Thirty Years,3:37,Country,2000-10-21,2000-12-16,20,27.0,1,73.0
108,"Tritt, Travis",Best Of Intentions,4:15,Country,2000-08-19,2000-12-02,22,27.0,1,97.0
109,Alice Deejay,Better Off Alone,6:50,Electronica,2000-04-08,2000-06-03,20,27.0,1,79.0
110,Hoku,Another Dumb Blonde,3:47,Pop,2000-02-19,2000-04-08,14,27.0,1,69.0
111,"Houston, Whitney",I Learned From The Best,4:18,Rock,2000-02-19,2000-03-25,11,27.0,1,83.0
112,Counting Crows,Hanginaround,4:07,Rock,1999-11-06,2000-01-29,20,28.0,1,84.0
113,Mary Mary,Shackles (Praise You),3:12,Rock,2000-03-25,2000-05-13,20,28.0,1,90.0
114,"Carey, Mariah",Crybaby,5:19,Rock,2000-06-24,2000-06-24,7,28.0,1,28.0
115,"McGraw, Tim",My Best Friend,4:33,Country,1999-11-27,2000-01-29,21,29.0,1,85.0
116,Sugar Ray,Falls Apart,4:15,Rock,2000-01-15,2000-02-19,20,29.0,1,70.0
117,Madonna,American Pie,4:30,Rock,2000-02-19,2000-03-04,9,29.0,1,43.0
118,"Jones, Donell",Where I Wanna Be,6:22,Rock,2000-04-22,2000-07-08,20,29.0,1,81.0
119,"Paisley, Brad",We Danced,3:45,Country,2000-10-14,2000-12-16,20,29.0,1,71.0
120,Lonestar,What About Now,3:30,Country,2000-06-10,2000-08-19,20,30.0,1,78.0
121,"Backstreet Boys, The",The One,3:46,Rock,2000-05-27,2000-07-01,15,30.0,1,58.0
122,"Keith, Toby",How Do You Like Me Now?!,3:29,Country,2000-01-29,2000-04-08,20,31.0,1,77.0
123,"Strait, George",The Best Day,3:24,Country,2000-01-29,2000-04-22,20,31.0,1,73.0
124,"Dixie Chicks, The",Without You,3:32,Country,2000-10-07,2000-12-23,20,31.0,1,80.0
125,Musiq,Just Friends (Sunny),4:02,Rap,2000-10-14,2000-12-30,20,31.0,1,89.0
126,"McEntire, Reba",What Do You Say,3:26,Country,1999-10-30,2000-01-29,20,31.0,1,88.0
127,"Braxton, Toni",Just Be A Man About It,4:10,Rock,2000-07-29,2000-09-02,20,32.0,1,76.0
128,"Iglesias, Enrique",Rhythm Divine,7:35,Latin,1999-12-04,2000-01-22,17,32.0,1,90.0
129,"Fabian, Lara",I Will Love Again,3:43,Pop,2000-06-10,2000-08-12,17,32.0,1,91.0
130,Bon Jovi,It's My Life,3:44,Rock,2000-08-12,2000-09-30,20,33.0,1,64.0
131,"Evans, Sara",Born To Fly,5:36,Country,2000-10-21,2000-12-30,20,34.0,1,77.0
132,"Chesney, Kenny",I Lost It,3:54,Country,2000-10-21,2000-12-23,20,34.0,1,75.0
133,J-Shin,One Night Stand,4:34,R&B,1999-12-25,2000-02-26,17,34.0,1,96.0
134,Eve,Love Is Blind,3:51,Rap,2000-01-08,2000-02-19,16,34.0,1,94.0
135,Aaliyah,I Don't Wanna,4:15,Rock,2000-01-29,2000-03-04,20,35.0,1,84.0
136,"Montgomery, John Michael",The Little Girl,3:52,Country,2000-09-09,2000-10-28,20,35.0,1,81.0
137,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B,2000-08-26,2000-09-16,15,35.0,1,99.0
138,"Vassar, Phil",Just Another Day In Paradise,3:54,Country,2000-09-30,2000-12-02,20,35.0,1,81.0
139,Ice Cube,You Can Do It,4:20,Rap,1999-12-04,2000-01-15,12,35.0,1,86.0
140,"Wills, Mark",Back At One,4:00,Country,2000-01-15,2000-02-26,18,36.0,1,89.0
141,Lucy Pearl,Dance Tonight,3:45,R&B,2000-05-20,2000-07-29,19,36.0,1,80.0
142,"Jackson, Alan",It Must Be Love,2:53,Country,2000-06-24,2000-09-02,20,37.0,1,76.0
143,"Griggs, Andy",She's More,3:19,Country,2000-03-11,2000-06-10,20,37.0,1,81.0
144,No Doubt,Simple Kind Of Life,4:11,Rock,2000-07-01,2000-07-22,13,38.0,1,50.0
145,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,19,38.0,1,77.0
146,Rascal Flatts,Prayin' For Daylight,3:36,Country,2000-05-06,2000-08-12,20,38.0,1,87.0
147,Vitamin C,Graduation (Friends Forever),4:23,Rock,2000-04-15,2000-06-10,12,38.0,1,81.0
148,"Gilman, Billy",One Voice,4:07,Country,2000-06-17,2000-09-02,19,38.0,1,86.0
149,Lonestar,Smile,3:33,Country,1999-12-18,2000-02-12,20,39.0,1,89.0
150,"Rogers, Kenny",Buy Me A Rose,3:46,Country,2000-03-11,2000-05-06,20,40.0,1,79.0
151,"Lawrence, Tracy",Lessons Learned,2:55,Country,2000-01-29,2000-04-08,20,40.0,1,80.0
152,"Strait, George",Go On,3:48,Country,2000-08-26,2000-10-28,20,40.0,1,71.0
153,Sisqo,Got To Get It,3:52,Rock,1999-11-20,2000-01-22,20,40.0,1,92.0
154,Baha Men,Who Let The Dogs Out,3:17,R&B,2000-07-22,2000-10-21,20,40.0,1,99.0
155,"Walker, Clay",The Chain Of Love,5:03,Country,2000-04-15,2000-06-10,20,40.0,1,73.0
156,"McBride, Martina",Love's The Only House,5:13,Country,2000-02-05,2000-04-15,20,42.0,1,79.0
157,Amber,Sexual (Li Da Di),4:38,Rock,1999-07-17,2000-02-12,29,42.0,1,99.0
158,"Tippin, Aaron",Kiss This,2:53,Country,2000-08-26,2000-10-21,20,42.0,1,74.0
159,SheDaisy,I Will.. But,3:40,Country,2000-07-15,2000-09-16,20,43.0,1,78.0
160,"Raye, Collin",Couldn't Last A Moment,3:40,Country,2000-03-18,2000-06-24,20,43.0,1,91.0
161,Black Rob,Whoa!,4:04,Rap,2000-03-04,2000-04-15,17,43.0,1,78.0
162,"Jackson, Alan",Pop A Top,3:04,Country,1999-11-13,2000-01-22,17,43.0,1,79.0
163,"Black, Clint",Been There,5:28,Country,2000-02-19,2000-04-15,20,44.0,1,87.0
164,Common,The Light,3:55,Rap,2000-08-05,2000-09-09,19,44.0,1,75.0
165,"Vassar, Phil",Carlene,4:07,Country,2000-03-04,2000-04-22,19,45.0,1,75.0
166,"Jackson, Alan",www.memory,2:36,Country,2000-11-04,2000-12-23,15,45.0,1,75.0
167,Vitamin C,The Itch,3:30,Rock,2000-12-02,2000-12-16,9,45.0,1,86.0
168,"Eastsidaz, The",G'D Up,4:27,Rap,2000-01-08,2000-02-12,14,47.0,1,77.0
169,Ideal,Whatever,3:48,R&B,2000-06-10,2000-08-19,18,47.0,1,75.0
170,"Thomas, Carl",Emotional,4:31,Rock,2000-11-25,2000-12-30,20,47.0,1,77.0
171,Ginuwine,None Of Ur Friends Business,4:12,Rock,1999-12-11,2000-01-22,15,48.0,1,94.0
172,"Davidson, Clay",Unconditional,3:56,Country,2000-03-25,2000-06-17,20,49.0,1,97.0
173,DMX,What You Want,4:05,Rap,2000-07-01,2000-09-23,20,49.0,1,98.0
174,"John, Elton",Someday Out Of The Blue,4:41,Rock,2000-04-22,2000-05-06,15,49.0,1,56.0
175,Pearl Jam,Nothing As It Seems,5:20,Rock,2000-05-13,2000-05-13,6,49.0,1,49.0
176,Mya,The Best Of Me,4:12,Rock,2000-04-15,2000-05-20,17,50.0,1,85.0
177,"Heatherly, Eric",Flowers On The Wall,3:16,Country,2000-04-29,2000-08-12,20,50.0,1,95.0
178,Eminem,Stan,5:26,Rap,2000-11-04,2000-12-02,15,51.0,1,78.0
179,"McEntire, Reba",I'll Be,4:23,Country,2000-05-13,2000-07-29,20,51.0,1,89.0
180,"Lopez, Jennifer",Feelin' Good,4:28,Latin,2000-02-19,2000-04-08,17,51.0,1,79.0
181,"Urban, Keith",Your Everything,4:10,Country,2000-07-15,2000-09-16,16,51.0,1,81.0
182,TLC,Dear Lie,4:36,Rock,2000-02-12,2000-03-04,7,51.0,1,63.0
183,"Gill, Vince",Feels Like Love,4:13,Country,2000-09-02,2000-11-18,20,52.0,1,82.0
184,"Houston, Whitney",Could I Have This Kiss Forever,3:54,Rock,2000-06-17,2000-08-05,19,52.0,1,74.0
185,Bloodhound Gang,The Bad Touch,4:20,R&B,2000-03-18,2000-04-15,12,52.0,1,70.0
186,"Williams, Robbie",Angels,3:56,Rock,1999-11-20,2000-01-22,19,53.0,1,85.0
187,"Messina, Jo Dee",Because You Love Me,3:50,Country,2000-01-29,2000-03-11,13,53.0,1,83.0
188,"Keith, Toby",Country Comes To Town,3:39,Country,2000-08-05,2000-10-14,15,54.0,1,82.0
189,Beenie Man,Girls Dem Sugar,4:17,Reggae,2000-10-21,2000-12-02,15,54.0,1,72.0
190,"Hill, Faith",Let's Make Love,4:11,Rap,2000-08-12,2000-10-21,14,54.0,1,83.0
191,Kelis,Caught Out There,4:09,R&B,1999-12-04,2000-01-08,12,54.0,1,84.0
192,Jay-Z,Anything,3:41,Rap,2000-02-26,2000-03-11,8,55.0,1,72.0
193,3 Doors Down,Loser,4:24,Rock,2000-10-21,2000-12-02,20,55.0,1,76.0
194,Brooks & Dunn,You'll Always Be Loved By Me,2:58,Country,2000-06-10,2000-09-09,19,55.0,1,95.0
195,"Chesney, Kenny",What I Need To Do,4:05,Country,2000-04-01,2000-06-10,17,56.0,1,79.0
196,"Stone, Angie",No More Rain (In This Cloud),4:42,R&B,1999-12-25,2000-01-22,17,56.0,1,86.0
197,Da Brat,That's What I'm Looking For,3:44,Rap,2000-02-26,2000-04-15,18,56.0,1,93.0
198,SheDaisy,This Woman Needs,3:20,Country,2000-02-05,2000-03-04,9,57.0,1,82.0
199,Papa Roach,Last Resort,3:19,Rock,2000-07-29,2000-12-02,20,57.0,1,75.0
200,"Adams, Yolanda",Open My Heart,5:30,Gospel,2000-08-26,2000-10-21,20,57.0,1,76.0
201,Shyne,Bad Boyz,4:22,Rap,2000-09-09,2000-10-28,15,57.0,1,94.0
202,R.E.M.,The Great Beyond,4:10,Rock,1999-12-25,2000-01-29,14,57.0,1,79.0
203,"Diffie, Joe",It's Always Somethin',2:55,Country,2000-08-12,2000-09-16,14,57.0,1,81.0
204,"McGraw, Tim",Some Things Never Change,3:56,Country,2000-05-13,2000-07-01,14,58.0,1,76.0
205,"Henley, Don",Taking You Home,4:08,Rock,2000-06-24,2000-08-05,20,58.0,1,79.0
206,Eminem,The Way I Am,4:40,Rap,2000-08-26,2000-09-30,10,58.0,1,87.0
207,Nas,You Owe Me,3:51,R&B,2000-03-25,2000-04-15,16,59.0,1,74.0
208,Sister Hazel,Change Your Mind,4:02,Rock,2000-07-15,2000-08-05,20,59.0,1,75.0
209,Puff Daddy,Best Friend,5:33,Rap,2000-02-12,2000-02-19,5,59.0,1,65.0
210,"McBride, Martina",There You Are,3:26,Country,2000-09-09,2000-10-21,13,60.0,1,79.0
211,Usher,Pop Ya Collar,3:36,Rock,2000-11-04,2000-11-18,7,60.0,1,68.0
212,Lil' Kim,No Matter What They Say,4:12,Rap,2000-07-15,2000-08-05,10,60.0,1,80.0
213,LFO,I Don't Wanna Kiss You Goodnight,5:00,Rock,2000-04-15,2000-04-22,5,61.0,1,63.0
214,SheDaisy,Deck The Halls,3:46,Country,1999-12-25,2000-01-01,2,61.0,1,97.0
215,Splender,I Think God Can Explain,3:55,R&B,2000-06-10,2000-06-24,12,62.0,1,71.0
216,"Simpson, Jessica",Where You Are,3:51,Rock,2000-04-01,2000-04-15,6,62.0,1,73.0
217,M2M,Mirror Mirror,3:19,Pop,2000-04-01,2000-05-27,18,62.0,1,87.0
218,Kumbia Kings,U Don't Love Me,3:50,R&B,2000-03-04,2000-03-18,10,62.0,1,81.0
219,Joe,Treat Her Like A Lady,4:12,Rock,2000-08-05,2000-08-19,17,63.0,1,77.0
220,"Blige, Mary J.",Deep Inside,5:26,Rock,1999-11-13,2000-01-22,15,63.0,1,83.0
221,"Price, Kelly",You Should've Told Me,3:12,Rock,2000-09-23,2000-12-02,20,64.0,1,91.0
222,Changing Faces,That Other Woman,4:00,Rock,2000-09-30,2000-10-28,11,64.0,1,80.0
223,"Wright, Chely",It Was,3:51,R&B,2000-03-04,2000-04-15,10,64.0,1,86.0
224,Limp Bizkit,Rollin',4:04,Rock,2000-11-11,2000-12-09,17,65.0,1,77.0
225,Hot Boys,I Need A Hot Girl,4:16,Rap,2000-02-19,2000-03-11,13,65.0,1,77.0
226,Jay-Z,Do It Again (Put Ya Hands Up),3:47,Rap,2000-01-15,2000-01-29,9,65.0,1,95.0
227,"Adkins, Trace",More,3:05,Country,2000-04-29,2000-06-17,11,65.0,1,84.0
228,"Dixie Chicks, The",Cold Day In July,5:12,Country,2000-06-24,2000-08-05,10,65.0,1,80.0
229,"Price, Kelly",As We Lay,6:20,Rock,2000-07-15,2000-08-05,8,64.0,1,82.0
230,DMX,What's My Name,3:50,Rap,2000-01-15,2000-02-12,11,67.0,1,98.0
231,"Martin, Ricky",Private Emotion,4:02,Latin,2000-03-11,2000-03-18,5,67.0,1,76.0
232,Nine Days,If I Am,4:18,Rock,2000-12-02,2000-12-02,5,68.0,1,68.0
233,"Blige, Mary J.",Give Me You,5:00,Rock,2000-04-15,2000-05-13,9,68.0,1,97.0
234,Red Hot Chili Peppers,Californication,5:21,Rock,2000-07-29,2000-10-14,19,69.0,1,72.0
235,Third Eye Blind,Deep Inside Of You,4:10,Rock,2000-09-02,2000-10-07,12,69.0,1,80.0
236,"Brooks, Garth",Do What You Gotta Do,2:56,Country,2000-02-19,2000-03-18,6,69.0,1,86.0
237,"Offspring, The",Original Prankster,3:42,Rock,2000-11-25,2000-12-09,9,70.0,1,74.0
238,"Anthony, Marc",My Baby You,3:59,Latin,2000-09-16,2000-10-07,20,70.0,1,82.0
239,"Houston, Whitney","Same Script, Different Cast",4:45,Rock,2000-06-17,2000-07-15,9,70.0,1,71.0
240,D'Angelo,Left & Right,4:35,R&B,1999-12-11,2000-01-01,5,70.0,1,93.0
241,"Kravitz, Lenny",I Belong To You,4:17,Rock,2000-03-25,2000-04-08,9,71.0,1,78.0
242,"Loveless, Patty",That's The Kind Of Mood I'm In,3:27,Country,2000-09-16,2000-11-18,14,71.0,1,98.0
243,Q-Tip,Breathe And Stop,4:06,Rock,2000-01-22,2000-01-22,5,71.0,1,71.0
244,"Rimes, LeAnn",Can't Fight The Moonlight,3:33,Country,2000-09-09,2000-09-16,20,71.0,1,82.0
245,Lil Wayne,Tha Block Is Hot,4:13,Rap,1999-12-04,2000-01-08,11,72.0,1,99.0
246,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,2000-02-26,2000-03-11,7,72.0,1,87.0
247,"Wallflowers, The",Sleepwalker,3:29,Rock,2000-10-28,2000-10-28,6,73.0,1,73.0
248,Drama,"Left, Right, Left",3:37,Rap,2000-02-12,2000-03-18,13,73.0,1,100.0
249,Limp Bizkit,N 2 Gether Now,3:55,Rock,1999-12-04,2000-01-08,11,73.0,1,94.0
250,Lox,"Ryde or Die, Chick",3:56,Rap,2000-03-18,2000-03-25,7,73.0,1,86.0
251,Ying Yang Twins,Whistle While You Twurk,4:19,Rap,2000-03-18,2000-04-29,14,74.0,1,95.0
252,"Walker, Clay","Live, Laugh, Love",4:06,Country,1999-12-04,2000-01-22,11,74.0,1,95.0
253,Metallica,No Leaf Clover (Live),5:43,Rock,2000-02-12,2000-03-11,10,74.0,1,86.0
254,Yankee Grey,Another Nine Minutes,3:10,Country,2000-04-29,2000-05-20,8,74.0,1,86.0
255,"Bega, Lou",Tricky Tricky ,3:23,Rock,2000-01-29,2000-02-05,3,74.0,1,75.0
256,Big Punisher,It's So Hard,3:25,Rap,2000-04-22,2000-05-06,15,75.0,1,96.0
257,"Worley, Darryl",When You Need My Love,3:35,Country,2000-06-17,2000-09-02,15,75.0,1,98.0
258,Lil' Kim,How Many Licks?,3:50,Rap,2000-11-25,2000-12-02,9,75.0,1,79.0
259,"Clark, Terri",A Little Gasoline,3:07,Country,2000-12-16,2000-12-16,6,75.0,1,75.0
260,"Brock, Chad",A Country Boy Can Survive,3:54,Country,2000-01-01,2000-01-08,3,75.0,1,93.0
261,"Cagle, Chris",My Love Goes On And On,3:02,Country,2000-10-21,2000-12-02,11,76.0,1,99.0
262,"Byrd, Tracy",Put Your Hand In Mine,4:30,Country,2000-01-29,2000-02-12,8,76.0,1,81.0
263,Metallica,I Disappear,4:26,Rock,2000-05-13,2000-06-17,20,76.0,1,86.0
264,Jay-Z,Hey Papi,3:40,Rap,2000-08-12,2000-10-07,15,76.0,1,98.0
265,Fatboy Slim,The Rockafeller Skank,4:00,Electronica,1999-11-13,2000-01-22,12,76.0,1,94.0
